year,month,day,decimalLatitude,decimalLongitude,individualCount
2024.0,7.0,23.0,61.243663,-123.759095,
2024.0,7.0,16.0,43.572439,-103.441564,
2024.0,7.0,11.0,44.63445,-110.447967,
2024.0,7.0,26.0,44.912792,-110.390236,
2024.0,7.0,21.0,47.594379,-103.3399,
2024.0,7.0,2.0,40.886683,-112.171355,
2024.0,7.0,23.0,53.625542,-112.857949,
2024.0,7.0,18.0,49.128308,-113.867638,
2024.0,7.0,28.0,43.910153,-102.410187,
2024.0,7.0,18.0,44.945573,-110.626777,
2024.0,7.0,4.0,38.440603,-96.574706,
2024.0,7.0,31.0,44.602438,-110.836617,
2024.0,7.0,27.0,44.6188,-110.420578,
2024.0,7.0,14.0,53.594391,-112.834862,
2024.0,7.0,3.0,43.792163,-103.349145,
2024.0,7.0,14.0,53.59513,-112.838406,
2024.0,7.0,3.0,44.913964,-110.409875,
2024.0,7.0,11.0,62.655053,-116.229155,
2024.0,7.0,21.0,34.732613,-98.694712,
2024.0,7.0,12.0,43.9052,-102.306908,
2024.0,7.0,25.0,44.68521,-110.943599,
2024.0,7.0,26.0,34.421938,-101.053782,
2024.0,7.0,11.0,60.78872,-136.354845,
2024.0,7.0,14.0,44.909471,-110.365899,
2024.0,7.0,3.0,47.339799,-103.243264,
2024.0,7.0,3.0,47.637844,-103.769556,
2024.0,7.0,11.0,46.931255,-103.513755,
2024.0,7.0,14.0,44.871509,-110.210632,
2024.0,7.0,7.0,44.592029,-110.561249,
2024.0,7.0,9.0,36.322503,-112.112708,
2024.0,7.0,20.0,47.990455,-98.9637,
2024.0,7.0,17.0,44.795031,-110.739854,
2024.0,7.0,30.0,44.523053,-110.827987,
2024.0,7.0,6.0,43.650455,-103.372953,
2024.0,7.0,11.0,36.529638,-93.458861,
2024.0,7.0,20.0,44.41658,-110.581584,
2024.0,7.0,16.0,43.572439,-103.441564,
2024.0,7.0,10.0,44.931999,-110.442301,
2024.0,7.0,11.0,44.592029,-110.561249,
2024.0,7.0,14.0,44.870984,-110.2093,
2024.0,7.0,22.0,59.940334,-127.468331,
2024.0,7.0,5.0,62.647062,-116.243828,
2024.0,7.0,28.0,43.903333,-102.326962,
2024.0,7.0,13.0,53.626335,-112.86898,
2024.0,7.0,20.0,44.915058,-110.275925,
2024.0,7.0,3.0,44.726142,-110.683433,
2024.0,7.0,18.0,44.597918,-110.561249,
2024.0,7.0,11.0,46.931258,-103.513778,
2024.0,7.0,5.0,60.032305,-113.187717,
2024.0,7.0,4.0,44.670845,-110.472838,
2024.0,7.0,16.0,43.732311,-103.413334,
2024.0,7.0,3.0,60.814273,-136.674139,
2024.0,7.0,25.0,43.733356,-103.355412,
2024.0,7.0,22.0,53.679986,-106.666611,
2024.0,7.0,15.0,44.624924,-110.434719,
2024.0,7.0,6.0,34.410058,-101.053742,
2024.0,7.0,2.0,40.88862,-112.17115,
2024.0,7.0,19.0,44.460114,-110.827998,
2024.0,7.0,27.0,44.675588,-110.49608,
2024.0,7.0,2.0,41.046061,-112.23375,
2024.0,7.0,29.0,49.083333,-113.916667,
2024.0,7.0,14.0,44.870682,-110.207119,
2024.0,7.0,9.0,43.572222,-103.441564,
2024.0,7.0,14.0,44.919607,-110.310245,
2024.0,7.0,11.0,44.914092,-110.410983,
