Year,Population,zscore,Smoothed
1872-01-01,4479000.0,-0.3871658541966702,4479000.0
1873-01-01,3968500.0,-0.4143162489724465,3968500.0
1874-01-01,3458000.0,-0.44146664374822275,3458000.0
1875-01-01,2947500.0,-0.468617038523999,2947500.0
1876-01-01,2437000.0,-0.49576743329977524,2437000.0
1877-01-01,1926500.0,-0.5229178280755515,1926500.0
1878-01-01,1416000.0,-0.5500682228513277,1416000.0
1879-01-01,905500.0,-0.577218617627104,998834.2444444444
1880-01-01,395000.0,-0.6043690124028803,675002.7333333333
1881-01-01,351171.22222222225,-0.6066999989243425,444505.4666666667
1882-01-01,307342.44444444444,-0.6090309854458046,307342.44444444444
1883-01-01,263513.6666666666,-0.6113619719672668,263513.6666666666
1884-01-01,219684.88888888888,-0.613692958488729,219684.88888888885
1885-01-01,175856.1111111111,-0.6160239450101911,175856.11111111107
1886-01-01,132027.3333333333,-0.6183549315316532,132027.3333333333
1887-01-01,88198.5555555555,-0.6206859180531155,88198.55555555553
1888-01-01,44369.77777777775,-0.6230169045745776,53131.15151515149
1889-01-01,541.0,-0.6253478910960397,26825.121212121197
1890-01-01,519.0909090909091,-0.6253490563075331,9280.464646464641
1891-01-01,497.1818181818182,-0.6253502215190265,497.1818181818182
1892-01-01,475.27272727272725,-0.6253513867305198,475.2727272727273
1893-01-01,453.3636363636364,-0.6253525519420132,453.3636363636364
1894-01-01,431.45454545454544,-0.6253537171535065,431.4545454545454
1895-01-01,409.5454545454545,-0.6253548823649999,409.54545454545456
1896-01-01,387.6363636363636,-0.6253560475764933,387.6363636363636
1897-01-01,365.7272727272728,-0.6253572127879867,365.7272727272727
1898-01-01,343.8181818181818,-0.62535837799948,343.8181818181818
1899-01-01,321.9090909090909,-0.6253595432109734,413.84646464646465
1900-01-01,300.0,-0.6253607084224667,575.8121212121212
1901-01-01,737.7777777777778,-0.6253374256810549,829.7151515151515
1902-01-01,1175.5555555555557,-0.625314142939643,1175.5555555555557
1903-01-01,1613.3333333333333,-0.6252908601982312,1613.3333333333335
1904-01-01,2051.1111111111118,-0.6252675774568195,2051.1111111111113
1905-01-01,2488.8888888888887,-0.6252442947154078,2488.8888888888887
1906-01-01,2926.6666666666665,-0.6252210119739959,2926.666666666667
1907-01-01,3364.4444444444443,-0.6251977292325841,3364.4444444444443
1908-01-01,3802.222222222222,-0.6251744464911723,3802.2222222222217
1909-01-01,4240.0,-0.6251511637497604,4240.0
1910-01-01,4677.777777777777,-0.6251278810083486,4677.777777777777
1911-01-01,5115.555555555556,-0.6251045982669368,5115.555555555555
1912-01-01,5553.333333333333,-0.6250813155255249,5553.333333333333
1913-01-01,5991.111111111111,-0.6250580327841132,5991.111111111111
1914-01-01,6428.888888888889,-0.6250347500427015,6428.888888888889
1915-01-01,6866.666666666667,-0.6250114673012896,6866.666666666667
1916-01-01,7304.444444444444,-0.6249881845598778,7304.444444444445
1917-01-01,7742.222222222222,-0.624964901818466,7742.222222222222
1918-01-01,8180.0,-0.6249416190770541,8180.0
1919-01-01,8617.777777777777,-0.6249183363356423,8617.777777777777
1920-01-01,9055.555555555557,-0.6248950535942305,9055.555555555557
1921-01-01,9493.333333333334,-0.6248717708528188,9493.333333333334
1922-01-01,9931.111111111111,-0.6248484881114069,9931.111111111111
1923-01-01,10368.888888888889,-0.6248252053699952,10368.888888888887
1924-01-01,10806.666666666666,-0.6248019226285834,10806.666666666668
1925-01-01,11244.444444444443,-0.6247786398871715,11244.444444444443
1926-01-01,11682.222222222224,-0.6247553571457597,11682.222222222223
1927-01-01,12120.0,-0.6247320744043479,12120.0
1928-01-01,12557.777777777776,-0.624708791662936,12557.777777777777
1929-01-01,12995.555555555557,-0.6246855089215242,12995.555555555557
1930-01-01,13433.333333333334,-0.6246622261801125,13433.333333333334
1931-01-01,13871.111111111111,-0.6246389434387006,13871.11111111111
1932-01-01,14308.888888888889,-0.6246156606972889,14308.888888888887
1933-01-01,14746.666666666666,-0.6245923779558771,14746.666666666668
1934-01-01,15184.444444444443,-0.6245690952144652,15184.444444444443
1935-01-01,15622.222222222224,-0.6245458124730534,15622.222222222223
1936-01-01,16060.0,-0.6245225297316416,16060.0
1937-01-01,16497.777777777777,-0.6244992469902297,16497.777777777777
1938-01-01,16935.555555555555,-0.6244759642488179,16935.555555555555
1939-01-01,17373.333333333332,-0.6244526815074062,17373.333333333332
1940-01-01,17811.11111111111,-0.6244293987659943,17811.11111111111
1941-01-01,18248.888888888887,-0.6244061160245826,18248.888888888887
1942-01-01,18686.666666666668,-0.6243828332831708,18686.666666666668
1943-01-01,19124.444444444445,-0.624359550541759,19124.444444444445
1944-01-01,19562.222222222223,-0.6243362678003471,19586.0
1945-01-01,20000.0,-0.6243129850589353,20071.333333333332
1946-01-01,20556.666666666668,-0.6242833793395259,20580.444444444445
1947-01-01,21113.33333333333,-0.6242537736201164,21113.333333333336
1948-01-01,21670.0,-0.624224167900707,21669.999999999996
1949-01-01,22226.666666666668,-0.6241945621812977,22226.666666666664
1950-01-01,22783.33333333333,-0.6241649564618881,22699.183673469386
1951-01-01,23340.0,-0.6241353507424787,23087.551020408162
1952-01-01,23475.918367346934,-0.6241281220699405,23391.768707482992
1953-01-01,23611.83673469388,-0.6241208933974023,23611.836734693876
1954-01-01,23747.755102040817,-0.6241136647248642,23747.755102040817
1955-01-01,23883.673469387755,-0.624106436052326,23883.673469387755
1956-01-01,24019.591836734693,-0.6240992073797876,24019.591836734693
1957-01-01,24155.51020408163,-0.6240919787072495,24155.510204081635
1958-01-01,24291.42857142857,-0.6240847500347113,24291.428571428572
1959-01-01,24427.34693877551,-0.6240775213621731,24427.34693877551
1960-01-01,24563.26530612245,-0.624070292689635,24563.26530612245
1961-01-01,24699.183673469382,-0.6240630640170968,24699.183673469386
1962-01-01,24835.102040816328,-0.6240558353445586,24835.102040816324
1963-01-01,24971.020408163266,-0.6240486066720204,24971.020408163266
1964-01-01,25106.938775510203,-0.6240413779994822,25106.938775510207
1965-01-01,25242.85714285714,-0.624034149326944,25242.85714285714
1966-01-01,25378.775510204083,-0.6240269206544058,25378.775510204083
1967-01-01,25514.69387755102,-0.6240196919818676,25514.693877551017
1968-01-01,25650.61224489796,-0.6240124633093294,25650.612244897962
1969-01-01,25786.530612244896,-0.6240052346367911,25786.530612244896
